"Secure Checkout", "Secure Checkout"
"Thank you!", "Thank you!"
"Click here to login", "Click here to login"
"Order Summary", "Order Summary"
"I have read and agree to the", "I have read and agree to the"
"Terms of Service", "Terms of Service"
"My billing and shipping address are the same", "My billing and shipping address are the same"
"Receive product updates and special discounts", "Receive product updates and special discounts"
"Create an account for later use", "Create an account for later use"
"Customer with this email address already exists. Please enter another email address or <a %s>login</a> to your account.", "Customer with this email address already exists. Please enter another email address or <a %s>login</a> to your account."
"Discount Coupon", "Discount Coupon"
"This payment method is not available for the billing address you&apos;ve indicated.", "This payment method is not available for the billing address you&apos;ve indicated."
"Place Your Order", "Place Your Order"
"Please fill all required address fields, or indicate other address.", "Please fill all required address fields, or indicate other address."
