title,is_active,phone,country_id,region,street,city,postal_code,desc,latitude,longitude,stores,website,icon,image,position
"CARLTON RAILWAY PHARMACY",1,"(02) 9832 9900",AU,NSW,"36 CARLTON PARADE",CARLTON,2218,," -33.967686",151.124019,6,http://,,,0
"CAMPSIE DISCOUNT DRUG STORE",1,"(02) 9789 5441",AU,"New South Wales","259 Beamish Street",CAMPSIE,2194,," -33.912057",151.104297,6,,,,0
"Pharmacy Depot",1,"(02) 9832 9900",AU,"New South Wales","Cnr Carlisle Ave &amp; Luxford Rd","Mount Druitt",2770,," -33.764168",150.81733,6,,,,0
"Galluzzo's Chemist",1,"(02) 9534 2000",AU,"New South Wales","11/247-263 Belmore Road",Riverwood,2210,," -33.952768",151.051376,6,,,,0
"Chemist Connect",1,"(02) 96042758",AU,"New South Wales","Shop 11, 368 Hamilton Rd","Fairfield West",2165,," -33.867763",150.923253,6,,,,0
"Charing Cross Pharmacy",1,"(02) 9389 3092",AU,"New South Wales","7 Albion St",Waverley,2024,," -33.902632",151.254535,6,,,,0
"John's Day &amp;Night Chemist",1,"(02) 9632 6890",AU,"New South Wales","333 Guildford Rd",Guildford,2161,," -33.853674",150.985904,6,,,,0
"Birrong Pharmacy",1,"(02) 9644 2788",AU,"New South Wales","89 Auburn Rd",Birrong,2143,," -33.891027",151.02257,6,,,,0
"MEDICINES RX CHEMIST",1,"(02) 9628 3620",AU,"New South Wales","211 Buckwell Dr","Hassall Grove",2761,," -33.735319",150.837202,6,,,,0
"David Wilson Discount Chemist",1,"(02) 9387 4883",AU,"New South Wales","Shop 3, Eastgate Mall Spring Street","Bondi Junction",2022,," -33.892334",151.247329,6,,,,0
"Parkside Plaza Pharmacy",1,"(02) 9540 1001",AU,"New South Wales","Shop 3-4 4-6 Wandella Road, Parkside Plaza, 4-6 Wandella Rd",Miranda,2228,,34.032088,151.099077,6,,,,0
"Pharmacy Depot HORNSBY",1,"(02) 9987 4241",AU,"New South Wales","1001/236 Pacific Highway",HORNSBY,2077,," -33.705099",151.099443,6,,,,0
Pharmasave,1,"(02) 9637 1431",AU,"New South Wales","34 South St",Granville,2142,," -33.833709",151.010671,6,,,,0
"David Wilson Chemist",1,"(02) 4640 8000",AU,"New South Wales","241 Queen St",Campbelltown,2560,," -34.068005",150.812515,6,,,,0
"Black &amp;White Pharmacy",1,"(02) 9602 3145",AU,"New South Wales","337 Hume Hwy",Liverpool,2170,," -33.93076",150.917203,6,,,,0
"Pharmacy Express Mt Annan",1,"(02) 4647 4820",AU,"New South Wales","Mt Annan Market Place, 1 Main St","MT ANNAN",2567,," -34.049466",150.757815,6,,,,0
"Zainab's Pharmacy",1,"(02) 9587 5814",AU,"New South Wales","1/1 Queen Victoria St",KOGARAH,2217,," -33.961683",151.130651,6,,,,0
"Punchbowl Pharmacy",1,"(02) 9759 2259",AU,"New South Wales","252-254 The Boulevarde",Punchbowl,2196,," -33.926029",151.055314,6,,,,0
"Terry White Chemists",1,"(02) 9832 1308",AU,"New South Wales","Jersey Road, Shop 20, Plumpton Marketplace",Plumpton,2761,," -33.867487",151.20699,6,,,,0
"GILCHRIST PHARMACY",1,"(02) 9567 2678",AU,"New South Wales","465 FOREST ROAD",BEXLEY,2207,," -33.949589",151.126366,6,,,,0
"O'DELLS PHARMACY",1,"(02) 9724 2538",AU,"New South Wales","5/45-47 SMITH STREET",FAIRFIELD,2165,," -27.510827",153.059053,6,,,,0
"PAULS PHAMRACY PLUS",1,"(02) 9635 9466",AU,"New South Wales","61 MARION ST","HARRIS PARK",2150,," -33.822713",151.009106,6,,,,0
"YOU SAVE PHARMACY",1,"(02) 4341 1488",AU,"New South Wales","315 West St","UMINA BEACH",2257,," -33.521123",151.31847,6,,,,0
"PHARMACY &amp; VITAMIN WAREHOUSE",1,"02 9387 7957",AU,"New South Wales","SHOP 187/2A, HOLLYWOOD AVE","BONDO JUNCTION",2022,," -33.892384",151.252392,6,,,,0
"PRICELINE PHARMACY",1,"(02) 9825 0600",AU,"New South Wales","The Valley Plaza Shopping Centre, 2/189 Wilson Rd,","GREEN VALLEY",2168,," -33.892384",151.252392,6,,,,0
"HALLS CREEK PHARMACY",1,"(08) 9168 5885",AU,"Western Australia","LOT 74 Great Northern Hwy,","Halls Creek",6770,," -18.224455",127.66817,6,,,,0
"EXCEL PHARMACY",1,"(02) 9632 5093",AU,"New South Wales","174/176 EXCELSIOR ST",GUILDFORD,2161,," -33.852164",151.000582,6,,,,0
"JOHNSONS PHARMACY",1,"(02) 9637 1811",AU,"New South Wales","22 DELLWOOD ST",GRANVILLE,2142,," -33.853587",151.008721,6,,,,0
"HEALTH SMART PHARMACY",1,"(02) 9263 1631",AU,"New South Wales","85A MONFARVILLE ST","ST MARYS",2760,," -33.778382",150.775356,6,,,,0
"Pharmacy Depot",1,"(02) 9832 9900",AU,"New South Wales","Shop110 Westfield","Mt Druitt",2770,," -33.867487",151.20699,6,,,,0
"Quakers Hill Pharmacy",1,"(02) 9837 1667",AU,"New South Wales","1/8 Douglas Rd,","Quakers Hill",2763,," -33.726457",150.884099,6,,,,0
"Pharmacy 4 Less Blacksmiths",1,"02 4971 1552",AU,NSW,"30 Pacific Highway",Blacksmiths,2281,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:30AM to 6:30PM&lt;/p&gt;
&lt;p&gt;Saturday: 8:30AM to 4:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 4:00PM&lt;/p&gt;"," -33.078971",151.650437,4,http://,,,0
"Pharmacy 4 Less Burwood",1,"02  9747 2189",AU,NSW,"Shop 147 Westfield Burwood",Burwood,2134,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Saturday: 8:30AM to 6:00PM&lt;/p&gt;
&lt;p&gt;Open until 9PM Thursday&lt;p/&gt;
&lt;p&gt;Sunday: 10:00AM to 5:00PM&lt;/p&gt;"," -33.874828",151.106491,4,http://,,,0
"Pharmacy 4 Less Chatswood",1,"02 9412 3304",AU,NSW,"Shop 438-441, Level 4 Westfield Chatswood",Chatswood,2067,"Open 7 days a week:

Weekdays 8:30am – 6:00pm (9:00pm on Thursday)

Saturday 8:30am – 5:30pm

Sunday 9:30am – 5:00pm"," -33.8008",151.1796,4,http://www.pharmacy4less.com.au/blog/pharmacy4less_chatswood_grand_opening/,,,0
"Pharmacy 4 Less Hornsby Late Night Chemist",1,"02 9477 4561",AU,NSW,"171 Pacific Hwy",Hornsby,2077,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Sunday: 8:00AM to 10:00PM&lt;/p&gt;
"," -33.703415",151.097461,4,http://,,,0
"Pharmacy 4 Less Jesmond",1,"02 4950 2210",AU,NSW,"15 Blue Gum Rd",Jemond,2299,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:30AM to 6:30PM&lt;/p&gt;
&lt;p&gt;Saturday: 9:00AM to 6:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 6:00PM&lt;/p&gt;"," -32.903",151.691,4,http://,,,0
"Pharmacy 4 Less Kotara",1,"02 4957 1594",AU,NSW,"Cnr Park Ave and Kullaiba Rd",Kotara,2289,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:00AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 9:00AM to 5:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 5:00PM&lt;/p&gt;
&lt;p&gt;Public Holidays: 10AM to 4:00pm&lt;p&gt;"," -32.932",151.685,4,http://,,,0
"Pharmacy 4 Less Lakemba",1,"02 9740 5719",AU,NSW,"Shop 10/ 49 The Blvd",Lakemba,2195,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Saturday: 8:00AM to 12:00AM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 12:00AM&lt;/p&gt;"," -33.9317",151.0851,4,http://,,,0
"Pharmacy 4 Less Revesby",1,"02 9773 9186",AU,NSW,"21 Revesby Pl",Revesby,2212,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday to Friday 8:00am - 7:00pm&lt;/p&gt;
&lt;p&gt;Saturday 8:00am - 4:00pm&lt;/p&gt;
&lt;p&gt;Sunday 9:00am - 1:00pm&lt;/p&gt;"," -33.95",151.0102,4,http://,,,0
"Pharmacy 4 Less Riverstone",1,"02  9627 1472",AU,NSW,"Shop 2 Marketown Centre",Riverstone,2765,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:30AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 8:30AM to 4:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 2:00PM&lt;/p&gt;"," -33.6819",150.8594,4,http://,,,0
"Pharmacy 4 Less Top Ryde",1,"02 9807 9300",AU,NSW,"Shop 1018 LG2 Top Ryde City",Ryde,2112,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Saturday: 8:30AM to 6:00PM&lt;/p&gt;
&lt;p&gt;Open until 9pm on Thursday&lt;/p&gt;
&lt;p&gt;Sunday: 10:00AM to 5:00PM&lt;/p&gt;"," -33.8153",151.1011,4,http://,,,0
"Pharmacy 4 Less Berala",1,"02 9649 1160",AU,NSW,"7/157 Woodburn Road",Berala,2141,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Sunday: 8:30AM to 8:00PM&lt;/p&gt;
"," -33.871197",151.032617,4,http://,,,0
"Pharmacy 4 Less Alfredton",1,"03 5342 9855",AU,VIC,"Shop 1 Woolworths Lucas Coltman Plaza",Lucas,3350,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:00AM to 10:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 8:00AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 7:00PM&lt;/p&gt;"," -37.555",143.8,4,http://,,,0
"Pharmacy 4 Less Coburg",1,"03 9386 6655",AU,VIC,"1 Louisa St",Coburg,3058,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:00AM to 9:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 8:00AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 7:00PM&lt;/p&gt;"," -37.7438",144.9645,4,http://,,,0
"Pharmacy 4 Less Reservoir",1,"03 9471 0222",AU,VIC,"Shop 27-1 Summer Hill Shopping Centre, 850 Plenty Road ",Reservoir,3073,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 8:00AM to 10:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 8:00AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 8:00AM to 7:00PM&lt;/p&gt;"," -37.725098",145.029226,4,http://,,,0
"Pharmacy 4 Less Curlewis",1,"03 5251 6781",AU,VIC,"Shop 10-11 Curlewis Shopping Centre. 90 Centennial Boulevard",Curlewis,3222,," -38.171670",144.550651,4,http://www.pharmacy4less.com.au/blog/announcing-our-newest-addition-to-the-pharmacy4less-family-pharmacy4less-curlewis/,iwd/storelocatori/Favicon.jpg,iwd/storelocatori/P4L_NEW_LOGO_Small.jpg,0
"Pharmacy 4 Less Tahmoor",1,"02 4681 0224",AU,NSW,"Shop 5&amp;6 Tahmoor Shopping Village",Tahmoor,2573,"&lt;p&gt;&lt;strong&gt;OPEN:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;Monday - Friday: 7:30AM to 7:00PM&lt;/p&gt;
&lt;p&gt;Saturday: 9:00AM to 5:00PM&lt;/p&gt;
&lt;p&gt;Sunday: 9:00AM to 5:00PM&lt;/p"," -34.2242",150.5922,4,http://,,,0
"Pharmacy 4 Less Logan City",1,"07 3209 1719",AU,QLD,"Shop 64 Logan City Centre, 2-24 Wembley Road","Logan Central",4114,"Open 7 days a week
Weekdays 8:30am – 6:00pm (7:00pm on Thursday)
Saturday 8:30am – 5:00pm
Sunday 9:00am – 1:00pm"," -27.643537",153.116875,4,http://www.pharmacy4less.com.au/blog/pharmacy4less_logan_city_grand_opening/,,,0
"Pharmacy 4 Less Cannington",1,"08 9458 3492",AU,WA,"24 Cecil Ave",Cannington,6107,"Open 7 days a week:
Weekdays 8:00am – 8:00pm (9:00pm on Thursday)
Weekends 8am-6pm."," -32.020034",115.932842,4,http://www.pharmacy4less.com.au/pharmacy4less-cannington,,,0
"Pharmacy 4 Less Parkmore",1,"03 9798 1936",AU,VIC,"Shop J01 Parkmore Shopping Centre 317-321 Cheltenham Rd",Parkmore,3173,"Open:
Weekdays: 8:00 am - 9:00 pm
Weekends: 9:00 am - 6:00 pm
"," -37.989733",145.184490,4,http://,,,0
"Pharmacy 4 Less Haldon St",1,"02 9750 4431 ",AU,NSW,"100 Haldon St",Lakemba,2195,"Open:
Monday - Friday 8:00am - 8:00pm
Saturday - Sunday 9:00am - 6:00pm
"," -33.921303",151.077455,4,http://,,,0
"Pharmacy 4 Less Hogan's Corner",1,"03 9748 9111",AU,VIC,"Shop 9-10 Hogans Corner Shopping Centre 150 Hogans Road","Hoppers Crossing",3029,"Open Every day 9:00am - 9:00pm"," -37.862090",144.687020,4,http://www.pharmacy4less.com.au/pharmacy4less-hoganscorner,,,0
"Pharmacy 4 Less Bracken Ridge",1,"07 3261 5477",AU,QLD,"Shop 22-24 Bracken Ridge Plaza, 250 Telegraph Rd","Bracken Ridge",4017,"Open:
Weekdays 8:30am - 7:00pm
Weekends 9:00am - 5:00pm"," -27.330544",153.026904,4,http://www.pharmacy4less.com.au/blog/pharmacy-4-less-bracken-ridge-grand-opening/,,,0
"Pharmacy 4 Less Jindalee",1,"07 3376 4961",AU,QLD,"Shop 12A Jindalee Home, 34 Goggs Rd",Jindalee,4074,"Open:
Weekdays 8:30am - 7:00pm
Weekends 9:00am - 6:00pm"," -27.534058",152.948223,4,http://www.pharmacy4less.com.au/blog/pharmacy-4-less-jindalee-grand-opening/,,,0
"Pharmacy 4 Less Benowa",1,"07 5597 1149",AU,QLD,"Shops 11 Benowa Village, Corner of Ashmore Rd and Ross St",Benowa,4217,," -28.009212",153.392025,4,http://,,,0
"Pharmacy 4 Less Cornubia",1,"07 3209 7490",AU,QLD,"Shop 1 Cornubia Shopping Centre, 195-225 Bryants Rd","Loganholme Cornubia",4130,"Open:
Weekdays 8:30am - 6:00pm
Saturday 9:00am - 5:00pm
Sunday 10:00am - 4:00pm"," -27.670597",153.191436,4,http://www.pharmacy4less.com.au/blog/pharmacy4less-cornubia-grand-opening/,,,0
"Pharmacy 4 Less Mount Hutton",1,"02 4948 5011",AU,NSW,"Shop 9 Lake Macquarie Fair, 56 Wilson Rd","Mt Hutton",2290,"OPEN:
Weekdays 8:00am - 6:30pm (Thursday until 7:00pm)
Weekends 9:00am - 3:00pm"," -32.985352",151.672287,4,http://,,,0
"Pharmacy 4 Less Auburn",1,"02 9749 5264 ",AU,NSW,"61 Auburn Rd",Auburn,2144,"OPEN:
Every day: 8:30am to Midnight"," -33.852426",151.032398,4,http://,,,0
"Pharmacy 4 Less Ringwood",1,TBC,AU,VIC,"Shop 1114, Eastland Shopping Centre, 171-175 Marrondah Highway",Ringwood,3134,"OPEN:
Monday-Wednesday: 8:30am - 6:00pm
Thursday &amp; Friday: 8:30am - 9:00pm
Saturday: 9:00am - 5:00pm
Sunday: 10:00am - 5:00pm"," -37.812683",145.229167,4,http://,,,0
"Pharmacy 4 Less Frankston",1,"03 9783 4110",AU,VIC,"Shop 159, Bayside Shopping Centre, 28 Beach St",Frankston,3199,"OPEN:
Monday - Wednesday: 9:00am - 6:00pm
Thursday - Friday: 9:00am - 9:00pm
Saturday: 9:00am - 6:00pm
Sunday: 10:00am - 5:00pm"," -38.140451",145.125091,4,http://,,,0
"Pharmacy 4 Less Warriewood",1,TBC,AU,NSW,"Shop 94 Warriewood Square, Jacksons Road",Warriewood,2102,"OPEN:
Weekdays: 9:00am - 6:00pm (until 7pm on Thursday)
Saturday: 9:00am - 5:00pm
Sunday: 10:00am - 4:00pm"," -33.696806",151.296808,4,http://,,,0
"Pharmacy 4 Less Armadale",1,"08 9497 1233",AU,WA,"Shop MM04 Armadale Shopping City, 206 Jull St",Armadale,6112,," -32.153694",116.05717,4,http://,,,0
